name,artist,year,bpm,energy,dance,dB,liveness,valence,duration,acousticness,speechiness ,pop,genre,mood
The Hills,The Weeknd,2015,113,56,59,-7,14,14,242,7,5,88,"canadian contemporary r&b, canadian pop, pop",Angry
Bad Habits,Ed Sheeran,2021,126,89,81,-4,37,54,231,5,3,87,"pop, singer songwriter pop, uk pop",Happy
Happier Than Ever,Billie Eilish,2021,81,23,33,-9,13,30,299,77,3,87,"art pop, pop",Sad
Heaven,Niall Horan,2023,92,76,57,-3,33,68,186,7,3,87,pop,Happy
I'm Not The Only One,Sam Smith,2014,82,49,68,-6,8,49,239,53,4,87,"pop, uk pop",Sad
In the End,Linkin Park,2000,105,86,56,-6,21,40,217,1,6,87,"alternative metal, nu metal, post grunge, rap metal, rock",Angry
La Jumpa,Arcï¿½ï¿½,2022,140,23,89,-15,13,20,197,11,18,87,"latin hip hop, reggaeton, trap latino, urbano latino",Sad
MIDDLE OF THE NIGHT,Elley Duhï¿,2020,186,61,41,-8,12,9,184,2,5,87,alt z,Angry
Mr. Brightside,The Killers,2004,148,91,35,-5,10,24,223,0,7,87,"alternative rock, dance rock, modern rock, permanent wave, rock",Angry
Numb,Linkin Park,2003,110,86,50,-4,64,24,186,0,4,87,"alternative metal, nu metal, post grunge, rap metal, rock",Angry
rap,Ed Sheeran,2014,108,38,61,-10,10,20,259,61,5,87,"pop, singer songwriter pop, uk pop",Sad
Say You Won't Let Go,James Arthur,2016,85,56,36,-7,9,49,211,70,6,87,"pop, talent show, uk pop",Angry
Something Just Like This,The Chainsmokers,2017,103,64,62,-7,16,45,247,5,3,87,pop,Angry
STAY (with Justin Bieber),The Kid LAROI,2021,170,76,59,-5,10,48,142,4,5,87,australian hip hop,Angry
Stressed Out,Twenty One Pilots,2015,170,64,73,-6,6,65,202,5,14,87,"modern rock, pop, pov: indie, rock",Happy
Style,Taylor Swift,2014,95,79,59,-6,12,49,231,0,4,87,pop,Angry
The Nights,Avicii,2014,126,84,53,-5,25,65,177,2,4,87,"dance pop, edm, pop, pop dance",Happy
Thunder,Imagine Dragons,2017,168,82,61,-5,15,29,187,1,4,87,"modern rock, pop, rock",Angry
traitor,Olivia Rodrigo,2021,101,34,38,-8,12,8,229,69,3,87,pop,Sad
Wake Me Up,Avicii,2013,124,78,53,-6,16,64,247,0,5,87,"dance pop, edm, pop, pop dance",Happy
Where Are You Now,Lost Frequencies,2021,121,64,67,-8,17,26,148,52,10,87,"belgian edm, edm, pop dance, tropical house",Angry
Woman,Doja Cat,2021,108,76,82,-4,12,88,173,9,9,87,"dance pop, pop",Happy
7 rings,Ariana Grande,2019,140,32,78,-11,9,33,179,59,33,86,pop,Sad
Adore You,Harry Styles,2019,99,77,68,-4,10,57,207,2,5,86,pop,Happy
All of Me,John Legend,2013,120,26,42,-7,13,33,270,92,3,86,"neo soul, pop, pop soul, urban contemporary",Sad
Before You Go,Lewis Capaldi,2019,112,57,46,-5,9,18,215,60,6,86,"pop, uk pop",Angry
Beggin',Mï¿½ï¿½ne,2017,134,80,71,-5,36,59,212,13,5,86,"indie rock italiano, italian pop",Happy
Closer,The Chainsmokers,2016,95,52,75,-6,11,66,245,41,3,86,pop,Happy
Cold Heart - PNAU Remix,Elton John,2021,116,80,80,-6,10,94,203,3,3,86,"glam rock, mellow gold, piano rock, rock",Happy
Counting Stars,OneRepublic,2013,122,71,66,-5,12,48,257,7,4,86,"piano rock, pop",Angry
Daddy Issues,The Neighbourhood,2015,85,52,59,-9,12,34,260,7,3,86,"modern alternative rock, modern rock, pop, pov: indie",Angry
deja vu,Olivia Rodrigo,2021,181,61,44,-7,37,18,216,58,11,86,pop,Angry
Demons,Imagine Dragons,2012,90,71,51,-3,27,43,178,19,3,86,"modern rock, pop, rock",Angry
drivers license,Olivia Rodrigo,2021,144,43,56,-9,11,14,242,77,6,86,pop,Sad
everything i wanted,Billie Eilish,2019,120,23,70,-14,11,24,245,90,10,86,"art pop, pop",Sad
Fair Trade (with Travis Scott),Drake,2021,168,47,67,-9,22,29,291,5,26,86,"canadian hip hop, canadian pop, hip hop, pop rap, rap",Sad
FLOWER,JISOO,2023,124,38,84,-8,7,60,173,2,4,86,k pop,Calm
Glimpse of Us,Joji,2022,170,32,44,-9,14,27,233,89,5,86,viral pop,Sad
good 4 u,Olivia Rodrigo,2021,167,66,56,-5,8,69,178,34,15,86,pop,Happy
goosebumps,Travis Scott,2016,130,73,84,-3,15,43,244,8,5,86,"hip hop, rap, slap house",Angry
Hips Don't Lie (feat. Wyclef Jean),Shakira,2005,100,82,78,-6,41,76,218,28,7,86,"colombian pop, dance pop, latin pop, pop",Happy
HUMBLE.,Kendrick Lamar,2017,150,62,91,-7,10,42,177,0,10,86,"conscious hip hop, hip hop, rap, west coast rap",Angry
Kill Bill (feat. Doja Cat),SZA,2023,89,74,63,-6,19,45,176,8,4,86,"pop, r&b, rap",Angry
Let Me Down Slowly,Alec Benjamin,2018,150,56,65,-6,12,48,169,74,3,86,"alt z, pop, pov: indie",Angry
Lost,Frank Ocean,2012,123,60,91,-5,17,50,234,3,23,86,"lgbtq+ hip hop, neo soul",Happy
Love On The Brain,Rihanna,2016,172,64,51,-5,8,38,224,7,5,86,"barbadian pop, pop, urban contemporary",Angry
Ni**as In Paris,JAY-Z,2011,140,86,79,-6,35,78,219,13,31,86,"east coast hip hop, gangster rap, hip hop, pop rap, rap",Happy
Nobody Gets Me,SZA,2022,100,28,36,-8,18,28,181,81,3,86,"pop, r&b, rap",Sad
